WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
1,3/26/2020,Thu,TEX,,MIN,SF,,COL,ATL,,,LAA,,,,CHC,,KC,,STL,DET,,BOS,,,WSH,,NYY,,,PIT,PHI,15
1,3/27/2020,Fri,TEX,,MIN,,,COL,ATL,,,LAA,,,,,,,,,,,BOS,,,,,,,,,PHI,7
1,3/28/2020,Sat,TEX,,MIN,SF,,COL,ATL,,,LAA,,,,CHC,,KC,,STL,DET,,BOS,,,WSH,,NYY,,,PIT,PHI,15
1,3/29/2020,Sun,TEX,,MIN,SF,,COL,ATL,,,LAA,,,,CHC,,KC,,STL,DET,,BOS,,,WSH,,NYY,,,PIT,PHI,15
2,3/30/2020,Mon,MIN,,HOU,COL,,ATL,SF,,,,,,,STL,PIT,,KC,,CHW,,CIN,,,PHI,,BOS,,,NYY,WSH,14
2,3/31/2020,Tue,MIN,,HOU,COL,,ATL,SF,,LAA,,,,,STL,PIT,,,,CHW,,CIN,,,PHI,,BOS,,,NYY,WSH,14
2,4/1/2020,Wed,MIN,,HOU,COL,,ATL,SF,,LAA,,,,,STL,PIT,,KC,,CHW,,CIN,,,PHI,,BOS,,,NYY,WSH,15
2,4/2/2020,Thu,,,,,,,,,LAA,,SEA,BAL,OAK,,,,CLE,,,CIN,,CHW,TOR,,MIL,,NYM,,,,10
2,4/3/2020,Fri,,LAD,,,HOU,,,SD,TB,,,,,,ARI,,CLE,,,,,,,,,,,MIA,,,7
2,4/4/2020,Sat,,LAD,,,HOU,,,SD,TB,,SEA,BAL,OAK,,ARI,,CLE,,,CIN,,CHW,TOR,,MIL,,NYM,MIA,,,15
2,4/5/2020,Sun,,LAD,,,HOU,,,SD,TB,,SEA,BAL,OAK,,ARI,,CLE,,,CIN,,CHW,TOR,,MIL,,NYM,MIA,,,15
