Season,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2015,Los Angeles Angels,97,100,96,88,98,102,97,101,100,98,100,98
2015,Baltimore,101,101,96,87,106,98,100,101,102,100,100,103
2015,Boston,104,103,112,103,95,99,99,102,97,103,101,98
2015,Chicago White Sox,99,98,95,93,105,102,103,98,101,98,105,102
2015,Cleveland,102,101,106,83,102,100,100,101,97,101,92,100
2015,Detroit,102,101,99,123,101,96,100,100,104,101,105,102
2015,Kansas City,102,101,105,114,92,97,99,100,101,101,95,98
2015,Minnesota,102,103,103,104,101,98,99,102,101,102,100,101
2015,New York Yankees,101,99,95,83,112,101,100,98,102,98,102,104
2015,Oakland,98,99,102,113,94,98,99,100,102,100,105,98
2015,Seattle,96,98,96,85,99,103,99,97,102,97,107,98
2015,Tampa Bay,97,99,94,100,96,103,100,98,100,100,104,98
2015,Texas,105,103,100,109,101,98,104,100,100,103,98,102
2015,Toronto,101,97,108,97,103,100,99,99,99,100,98,101
2015,Arizona,105,100,106,127,104,100,100,101,100,101,93,101
2015,Atlanta,99,100,98,96,94,103,102,98,100,101,99,97
2015,Chicago Cubs,100,100,100,103,101,101,102,100,99,101,97,100
2015,Cincinnati,101,98,100,91,108,104,102,98,100,98,102,102
2015,Colorado,116,109,109,132,110,95,102,107,99,107,90,107
2015,Miami,97,99,98,108,90,99,101,101,99,97,95,97
2015,Houston,97,98,96,109,102,103,99,100,98,98,100,99
2015,Los Angeles Dodgers,96,97,99,77,100,100,94,99,100,96,102,98
2015,Milwaukee,102,99,101,96,108,101,101,99,100,101,97,103
2015,Washington,101,104,102,81,97,99,100,100,102,101,98,99
2015,New York Mets,95,95,96,86,99,102,101,97,101,98,110,100
2015,Philadelphia,100,98,97,95,111,104,101,99,101,97,108,103
2015,Pittsburgh,98,102,99,96,92,97,99,102,98,104,99,98
2015,St. Louis,97,100,99,96,95,97,98,100,101,101,103,99
2015,San Diego,95,98,96,96,96,101,100,100,98,99,97,98
2015,San Francisco,96,100,99,122,86,100,101,101,97,98,98,95
2016,Los Angeles Angels,97,99,95,84,100,102,98,100,100,98,100,99
2016,Baltimore,100,102,96,87,105,98,100,101,103,99,101,103
2016,Boston,105,103,114,104,96,99,99,102,98,103,101,99
2016,Chicago White Sox,99,99,95,96,103,103,101,99,102,98,102,100
2016,Cleveland,104,102,106,85,102,100,101,102,97,102,92,101
2016,Detroit,100,100,98,120,100,96,99,100,104,101,105,101
2016,Kansas City,101,101,106,113,92,97,99,101,100,102,95,98
