Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2015,"Jason Marquis","CIN",4,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,105
2015,"Will Venable","2 Tms",34,48,44,7,6,1,0,0,0,4,2,0,14,0,0,2,1,0,0,0.15909091,211
2015,"Mark Buehrle","TOR",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
2015,"CC Sabathia","NYY",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
2015,"Jeremy Affeldt","SFG",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,583
2015,"David Ortiz","BOS",88,184,169,39,22,9,0,8,8,30,12,0,39,0,3,0,6,0,0,0.23076923,745
2015,"A.J. Pierzynski","ATL",62,91,83,22,17,5,0,0,0,7,5,0,10,3,0,0,4,0,0,0.26506024,746
2015,"Randy Choate","STL",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,813
2015,"Brennan Boesch","CIN",7,8,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0.14285714,914
2015,"Danny Dorn","ARI",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1050
2015,"Ichiro Suzuki","MIA",56,97,90,25,20,0,4,1,1,11,6,0,10,0,0,1,1,0,0,0.27777778,1101
2015,"Carl Crawford","LAD",24,30,27,8,7,1,0,0,0,2,2,0,6,0,0,0,1,0,0,0.2962963,1201
2015,"Javier Lopez","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1663
2015,"Chase Utley","2 Tms",68,115,97,18,12,4,1,1,1,7,9,0,21,5,4,0,2,0,0,0.18556701,1679
2015,"Justin Morneau","COL",21,40,38,13,8,5,0,0,0,3,2,0,5,0,0,0,2,0,0,0.34210526,1737
2015,"David DeJesus","2 Tms",8,12,11,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.09090909,1825
2015,"Joe Mauer","MIN",84,209,191,51,37,8,2,4,4,26,17,1,34,0,0,1,5,0,0,0.26701571,1857
2015,"Josh Hamilton","TEX",25,59,55,13,7,3,0,3,3,12,3,0,17,0,1,0,0,0,0,0.23636364,1875
2015,"Adam LaRoche","CHW",57,94,89,14,11,3,0,0,0,7,3,0,37,1,1,0,1,0,0,0.15730337,1904
