Season,Name,playerId,Team,Bats,G_L,PA_L,AB_L,H_L,1B_L,2B_L,3B_L,HR_L,R_L,RBI_L,BB_L,IBB_L,SO_L,HBP_L,SF_L,SH_L,GDP_L,SB_L,CS_L,AVG_L,G_R,PA_R,AB_R,H_R,1B_R,2B_R,3B_R,HR_R,R_R,RBI_R,BB_R,IBB_R,SO_R,HBP_R,SF_R,SH_R,GDP_R,SB_R,CS_R,AVG_R,BsR,C,Fld,1B,2B,SS,3B,LF,CF,RF,DH
2019.0,A.J. Pollock,9256,Los Angeles Dodgers,R,19.55625,52.15,48.81666667,13.23,6.25707,4.85613,0.19845,1.91835,7.0,7.0,3.333333333,0.0,21.57071429,0.5215,0.289722222,0.173833333,1.043,3.7215,0.930375,0.27101399800000003,35.47619048,96.85,88.18333333,22.77,13.57771429,3.337142857,0.309795918,5.545346939,14.0,14.0,8.666666667000001,0.0,23.936999999999998,0.9685,0.538055556,0.322833333,1.9369999999999998,4.9685,1.242125,0.258212058,0.4,0.0,-0.3,0.0,0.0,0.0,0.0,114.0,9.0,0.0,25.0
2019.0,Aaron Hicks,5297,New York Yankees,S,22.875,61.0,54.33333333,12.66666667,6.346666667,3.786666667,0.18095238100000002,2.352380952,9.0,9.0,6.666666667,0.0,30.371,0.61,0.33888888899999997,0.203333333,1.22,3.01,0.7525,0.23312883399999998,45.75,122.0,104.66666670000001,25.33333333,15.69333333,4.066666667,0.3619047620000001,5.211428571,18.0,18.0,17.33333333,0.0,30.371,1.22,0.6777777779999999,0.40666666700000004,2.44,4.22,1.055,0.242038217,0.3,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0
2019.0,Aaron Judge,15640,New York Yankees,R,27.16875,72.45,63.28333333,16.17,2.04753,11.53527,0.24255,2.34465,10.0,10.0,9.166666667000001,0.0,28.80428571,0.7245,0.4025,0.2415,1.449,1.5245,0.381125,0.255517514,49.28571429,134.55,110.71666670000002,27.83,13.7727619,6.9009523810000015,0.37863945600000004,6.777646259,20.0,20.0,23.83333333,0.0,31.85,1.3455,0.7475,0.4485,2.6910000000000003,2.3455,0.586375,0.251362336,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,12.0
2019.0,Aaron Whitefield,19938,Minnesota,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2019.0,Abraham Toro,19844,Houston,S,2.625,7.0,6.166666667,1.333333333,0.573333333,0.493333333,0.019047619,0.247619048,1.0,1.0,0.833333333,0.0,3.3739999999999997,0.07,0.038888888999999996,0.023333332999999998,0.14,0.07,0.0175,0.21621621600000002,5.25,14.0,11.83333333,2.666666667,1.3466666669999998,0.7333333329999999,0.038095238,0.548571429,2.0,2.0,2.166666667,0.0,3.3739999999999997,0.14,0.07777777799999999,0.046666667,0.28,0.14,0.035,0.22535211300000002,0.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2019.0,Adalberto Mondesi,13769,Kansas City,S,24.875,66.33333333,63.55555556,15.66666667,10.68666667,1.8466666669999998,0.22380952399999998,2.90952381,9.0,9.0,2.777777778,0.0,33.938,0.663333333,0.368518519,0.22111111100000005,1.326666667,12.66333333,3.165833333,0.246503497,49.75,132.6666667,125.44444440000001,31.33333333,23.37333333,1.066666667,0.44761904799999996,6.445714286,19.0,19.0,7.222222222,0.0,33.938,1.326666667,0.737037037,0.4422222220000001,2.653333333,16.32666667,4.0816666669999995,0.249778565,1.5,0.0,1.6,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0
2019.0,Adam Duvall,10950,Atlanta,R,11.41875,30.45,28.22777778,6.615,1.428535,4.128065,0.099225,0.959175,4.0,4.0,2.222222222,0.0,15.10185714,0.3045,0.169166667,0.1015,0.609,0.3045,0.076125,0.234343633,20.71428571,56.55,50.77222222,11.385,5.888857142999999,2.568571429,0.154897959,2.772673469,8.0,8.0,5.777777778,0.0,16.531,0.5655,0.314166667,0.1885,1.131,0.5655,0.141375,0.224236787,0.0,0.0,0.6,14.0,0.0,0.0,0.0,32.0,0.0,34.0,7.0
2019.0,Adam Engel,15082,Chicago White Sox,R,6.16875,16.45,15.33888889,3.3075,1.8142675,0.9640325000000001,0.0496125,0.4795875,2.0,2.0,1.111111111,0.0,8.587428571,0.1645,0.091388889,0.054833333,0.32899999999999996,0.9645,0.241125,0.21562839600000008,11.19047619,30.55,27.66111111,5.6925,3.9444285710000004,0.28428571399999997,0.07744898,1.386336735,4.0,4.0,2.888888889,0.0,9.384,0.3055,0.169722222,0.10183333300000001,0.611,1.3055,0.326375,0.20579433600000002,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0
2019.0,Adam Frazier,15223,Pittsburg,L,24.64285714,65.71428571,60.71428571,15.41950113,11.71743872,0.030752619,0.20978913100000002,3.461520663,9.0,9.0,5.0,0.0,32.016,0.6571428570000001,0.365079365,0.219047619,1.3142857140000002,0.6571428570000001,0.164285714,0.253968254,54.3375,141.28571430000005,128.2857143,35.58049887,29.06852381,0.071904762,0.5337074829999999,5.906362812,21.0,21.0,13.0,0.0,28.78285714,1.412857143,0.784920635,0.47095238100000003,2.825714286,1.412857143,0.353214286,0.277353555,-0.1,0.0,0.1,0.0,179.0,0.0,0.0,0.0,0.0,0.0,28.0
2019.0,Adeiny Hechavarria,10459,Atlanta,R,4.85625,12.95,12.11666667,2.94,1.99046,0.47913999999999995,0.0441,0.4263,1.0,1.0,0.833333333,0.0,5.838857142999999,0.1295,0.07194444400000001,0.043166667,0.259,0.1295,0.032375,0.24264099,8.80952381,24.05,21.88333333,5.06,3.595047619,0.163809524,0.068843537,1.23229932,3.0,3.0,2.166666667,0.0,6.4479999999999995,0.2405,0.133611111,0.080166667,0.48100000000000004,0.2405,0.060125,0.23122620000000002,0.0,0.0,0.2,0.0,7.0,21.0,9.0,0.0,0.0,0.0,0.0
2019.0,Adolis Garcia,19287,Texas,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,0.0
2019.0,Albert Almora Jr.,14109,Chicago Cubs,R,13.51875,36.05,34.10555556,9.1875,6.7951875,0.9223125,0.1378125,1.3321875,5.0,5.0,1.9444444440000002,0.0,15.16357143,0.3605,0.20027777800000002,0.12016666699999999,0.721,0.3605,0.090125,0.269384265,24.52380952,66.95,61.89444444,15.8125,11.73452381,0.011904762,0.215136054,3.8509353739999996,10.0,10.0,5.055555556,0.0,16.827,0.6695,0.371944444,0.22316666699999999,1.339,0.6695,0.167375,0.255475272,-0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0
2019.0,Albert Pujols,1177,Los Angeles Angels,R,20.475,54.6,51.54444444,12.8625,7.2332625,3.5712375,0.1929375,1.8650625,8.0,8.0,3.0555555560000003,0.0,25.91285714,0.546,0.303333333,0.182,1.092,0.546,0.1365,0.249541927,37.14285714,101.4,93.45555556,22.1375,15.02833333,1.4166666669999999,0.30119047600000004,5.3913095239999995,15.0,15.0,7.944444444,0.0,28.49,1.014,0.563333333,0.33799999999999997,2.028,1.014,0.2535,0.23687730399999998,-0.7,0.0,-0.6,137.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2019.0,Aledmys Diaz,15937,Houston,R,9.1875,24.5,22.55555556,5.88,3.18092,1.7582799999999998,0.0882,0.8526,3.0,3.0,1.9444444440000002,0.0,10.22585714,0.245,0.136111111,0.081666667,0.49,0.245,0.06125,0.260689655,16.66666667,45.5,40.44444444,10.12,6.990095237999999,0.5276190479999999,0.137687075,2.464598639,6.0,6.0,5.055555556,0.0,11.327,0.455,0.252777778,0.151666667,0.91,0.455,0.11375,0.25021978,-0.2,0.0,-0.4,12.0,12.0,12.0,16.0,7.0,0.0,0.0,12.0
2019.0,Alex Avila,7476,Minnesota,L,8.69047619,23.17460317,19.56349206,3.6281179139999997,2.204103229,0.560177087,0.049362148,0.81447545,3.0,3.0,3.611111111,0.0,13.92,0.231746032,0.128747795,0.077248677,0.46349206299999995,0.231746032,0.057936508,0.185453492,19.1625,49.82539683,40.43650794,8.371882086,3.89847619,2.9580952380000003,0.12557823099999998,1.389732426,7.0,7.0,9.388888889,0.0,12.79542857,0.498253968,0.27680776,0.166084656,0.9965079370000001,0.498253968,0.124563492,0.20703771199999998,-0.2,70.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Alex Blandino,16271,Cincinatti,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2019.0,Alex Bregman,17678,Houston,R,28.48125,75.95,66.50555556,18.7425,5.6141825,10.1295175,0.2811375,2.7176625,11.0,11.0,9.444444444,0.0,25.94742857,0.7595,0.421944444,0.253166667,1.5190000000000001,1.5595,0.389875,0.281818562,51.66666667,141.05,116.49444440000002,32.2575,17.81842857,6.144285714,0.43887755100000003,7.855908163,21.0,21.0,24.55555556,0.0,29.04,1.4105,0.7836111109999999,0.47016666700000004,2.821,2.4105,0.602625,0.276901617,0.1,0.0,-0.3,0.0,0.0,16.0,200.0,0.0,0.0,0.0,0.0
